Datetime,Slots
2021-01-12 12:34:40,6
2021-01-12 14:31:40,5
2021-01-12 15:41:40,6
2021-01-12 16:14:40,5
2021-01-12 16:59:40,4
2021-01-12 18:12:40,5
2021-01-12 19:42:40,6
2021-01-12 21:27:40,5
2021-01-13 00:54:40,6
2021-01-13 04:47:40,5
2021-01-13 05:22:40,6
2021-01-13 09:34:40,5
2021-01-13 13:58:40,4
2021-01-13 16:03:40,5
2021-01-13 19:29:40,4
2021-01-13 22:38:40,3
2021-01-13 23:29:40,2
2021-01-14 01:47:40,3
2021-01-14 06:14:40,2
2021-01-14 10:44:40,3
2021-01-14 10:50:40,4
2021-01-14 14:16:40,5
2021-01-14 17:25:40,6
2021-01-14 22:01:40,5
2021-01-14 22:03:40,6
2021-01-15 02:24:40,5
2021-01-15 05:00:40,4
2021-01-15 09:07:40,5
2021-01-15 11:09:40,6
2021-01-15 14:27:40,5
2021-01-15 15:43:40,4
2021-01-15 16:38:40,5
2021-01-15 17:41:40,4
2021-01-15 20:19:40,3
2021-01-15 21:24:40,4
2021-01-15 21:44:40,5
2021-01-15 22:32:40,4
2021-01-16 02:47:40,3
2021-01-16 03:18:40,4
2021-01-16 04:17:40,5
2021-01-16 05:24:40,4
2021-01-16 07:12:40,3
2021-01-16 12:00:40,4
2021-01-16 14:36:40,3
2021-01-16 16:49:40,2
2021-01-16 20:45:40,1
2021-01-16 23:30:40,2
2021-01-16 23:45:40,3
2021-01-16 23:56:40,2
2021-01-17 03:14:40,1
2021-01-17 07:15:40,2
2021-01-17 11:12:40,1
2021-01-17 12:23:40,0
2021-01-17 15:30:40,1
2021-01-17 16:37:40,0
2021-01-17 20:39:40,1
2021-01-17 21:11:40,2
2021-01-17 23:59:40,3
2021-01-18 02:24:40,2
2021-01-18 04:49:40,3
2021-01-18 06:19:40,2
2021-01-18 09:16:40,3
2021-01-18 09:22:40,2
2021-01-18 12:28:40,3
2021-01-18 17:00:40,4
2021-01-18 20:49:40,5
2021-01-18 23:31:40,6
2021-01-19 01:54:40,5
2021-01-19 03:13:40,6
2021-01-19 05:20:40,5
2021-01-19 06:43:40,4
2021-01-19 09:28:40,5
2021-01-19 11:43:40,6
2021-01-19 15:41:40,5
2021-01-19 18:45:40,4
2021-01-19 19:08:40,5
2021-01-19 21:27:40,4
2021-01-20 00:57:40,3
2021-01-20 01:42:40,4
2021-01-20 06:12:40,3
2021-01-20 07:19:40,4
2021-01-20 10:13:40,5
2021-01-20 11:20:40,4
2021-01-20 12:42:40,5
2021-01-20 14:31:40,4
2021-01-20 15:21:40,3
2021-01-20 16:41:40,4
2021-01-20 17:55:40,5
2021-01-20 22:15:40,6
2021-01-20 23:24:40,5
2021-01-21 02:00:40,4
2021-01-21 04:17:40,5
2021-01-21 04:58:40,6
2021-01-21 06:10:40,5
2021-01-21 08:19:40,6
2021-01-21 12:32:40,5
2021-01-21 16:04:40,4
2021-01-21 18:55:40,5
2021-01-21 20:39:40,4
2021-01-21 21:13:40,5
